ItemID,Description,TrendType,ds,CustomerName,y
FF0001,Frozen Peas,Regular,2025-01-01,FreshMart Grocery,33
FF0001,Frozen Peas,Regular,2025-01-01,QuickShop Retail,741
FF0001,Frozen Peas,Regular,2025-01-01,Green Valley Foods,1614
FF0001,Frozen Peas,Regular,2025-01-01,UrbanEats Superstore,0
FF0001,Frozen Peas,Regular,2025-01-01,Organic Valley Market,2810
FF0001,Frozen Peas,Regular,2025-01-01,Neighborhood Fresh,556
FF0001,Frozen Peas,Regular,2025-01-01,DailyFresh Foods,547
FF0001,Frozen Peas,Regular,2025-01-01,MegaMart Wholesale,4
FF0001,Frozen Peas,Regular,2025-01-01,HealthFoods Market,13
FF0001,Frozen Peas,Regular,2025-01-01,Metro SuperMart,430
FF0001,Frozen Peas,Regular,2025-01-01,BudgetMart,295
FF0001,Frozen Peas,Regular,2025-01-01,FamilyGrocer,27
FF0001,Frozen Peas,Regular,2025-01-01,WholeChoice Market,2107
FF0001,Frozen Peas,Regular,2025-02-01,Metro SuperMart,1565
FF0001,Frozen Peas,Regular,2025-02-01,QuickShop Retail,1774
FF0001,Frozen Peas,Regular,2025-02-01,Green Valley Foods,870
FF0001,Frozen Peas,Regular,2025-02-01,FreshMart Grocery,191
FF0001,Frozen Peas,Regular,2025-02-01,SuperSaver Foods,54
FF0001,Frozen Peas,Regular,2025-02-01,WholeChoice Market,607
FF0001,Frozen Peas,Regular,2025-02-01,FamilyGrocer,305
FF0001,Frozen Peas,Regular,2025-02-01,Township Grocer,68
FF0001,Frozen Peas,Regular,2025-02-01,DailyFresh Foods,359
FF0001,Frozen Peas,Regular,2025-02-01,UrbanEats Superstore,18
FF0001,Frozen Peas,Regular,2025-02-01,BudgetMart,1264
FF0001,Frozen Peas,Regular,2025-02-01,Organic Valley Market,157
FF0001,Frozen Peas,Regular,2025-02-01,HealthFoods Market,572
FF0001,Frozen Peas,Regular,2025-02-01,Neighborhood Fresh,196
FF0001,Frozen Peas,Regular,2025-02-01,MegaMart Wholesale,386
FF0001,Frozen Peas,Regular,2025-03-01,FamilyGrocer,1643
FF0001,Frozen Peas,Regular,2025-03-01,HealthFoods Market,1214
FF0001,Frozen Peas,Regular,2025-03-01,SuperSaver Foods,685
FF0001,Frozen Peas,Regular,2025-03-01,FreshMart Grocery,780
FF0001,Frozen Peas,Regular,2025-03-01,DailyFresh Foods,2966
FF0001,Frozen Peas,Regular,2025-03-01,WholeChoice Market,824
FF0001,Frozen Peas,Regular,2025-03-01,BudgetMart,285
FF0001,Frozen Peas,Regular,2025-03-01,MegaMart Wholesale,310
FF0001,Frozen Peas,Regular,2025-03-01,Neighborhood Fresh,159
FF0001,Frozen Peas,Regular,2025-03-01,Organic Valley Market,13
FF0001,Frozen Peas,Regular,2025-03-01,Metro SuperMart,486
FF0001,Frozen Peas,Regular,2025-04-01,FamilyGrocer,964
FF0001,Frozen Peas,Regular,2025-04-01,UrbanEats Superstore,2257
FF0001,Frozen Peas,Regular,2025-04-01,QuickShop Retail,1738
FF0001,Frozen Peas,Regular,2025-04-01,Green Valley Foods,546
FF0001,Frozen Peas,Regular,2025-04-01,BudgetMart,91
FF0001,Frozen Peas,Regular,2025-04-01,Metro SuperMart,424
FF0001,Frozen Peas,Regular,2025-04-01,DailyFresh Foods,1012
FF0001,Frozen Peas,Regular,2025-04-01,Neighborhood Fresh,1004
FF0001,Frozen Peas,Regular,2025-04-01,Township Grocer,819
FF0001,Frozen Peas,Regular,2025-04-01,FreshMart Grocery,294
FF0001,Frozen Peas,Regular,2025-05-01,Metro SuperMart,33
FF0001,Frozen Peas,Regular,2025-05-01,QuickShop Retail,148
FF0001,Frozen Peas,Regular,2025-05-01,UrbanEats Superstore,41
FF0001,Frozen Peas,Regular,2025-05-01,WholeChoice Market,1318
FF0001,Frozen Peas,Regular,2025-05-01,SuperSaver Foods,491
FF0001,Frozen Peas,Regular,2025-05-01,Organic Valley Market,925
FF0001,Frozen Peas,Regular,2025-05-01,Green Valley Foods,3103
FF0001,Frozen Peas,Regular,2025-05-01,DailyFresh Foods,373
FF0001,Frozen Peas,Regular,2025-05-01,BudgetMart,688
FF0001,Frozen Peas,Regular,2025-05-01,Township Grocer,1835
FF0001,Frozen Peas,Regular,2025-05-01,Neighborhood Fresh,338
FF0001,Frozen Peas,Regular,2025-05-01,MegaMart Wholesale,104
FF0001,Frozen Peas,Regular,2025-06-01,FreshMart Grocery,634
FF0001,Frozen Peas,Regular,2025-06-01,Neighborhood Fresh,1348
FF0001,Frozen Peas,Regular,2025-06-01,Township Grocer,1853
FF0001,Frozen Peas,Regular,2025-06-01,SuperSaver Foods,313
FF0001,Frozen Peas,Regular,2025-06-01,WholeChoice Market,95
FF0001,Frozen Peas,Regular,2025-06-01,BudgetMart,211
FF0001,Frozen Peas,Regular,2025-06-01,UrbanEats Superstore,455
FF0001,Frozen Peas,Regular,2025-06-01,MegaMart Wholesale,1394
FF0001,Frozen Peas,Regular,2025-06-01,FamilyGrocer,1613
FF0001,Frozen Peas,Regular,2025-06-01,DailyFresh Foods,5
FF0001,Frozen Peas,Regular,2025-06-01,Metro SuperMart,585
FF0001,Frozen Peas,Regular,2025-06-01,QuickShop Retail,442
FF0001,Frozen Peas,Regular,2025-07-01,MegaMart Wholesale,563
FF0001,Frozen Peas,Regular,2025-07-01,FamilyGrocer,293
FF0001,Frozen Peas,Regular,2025-07-01,BudgetMart,274
FF0001,Frozen Peas,Regular,2025-07-01,QuickShop Retail,30
FF0001,Frozen Peas,Regular,2025-07-01,Township Grocer,770
FF0001,Frozen Peas,Regular,2025-07-01,DailyFresh Foods,572
FF0001,Frozen Peas,Regular,2025-07-01,UrbanEats Superstore,43
FF0001,Frozen Peas,Regular,2025-07-01,Neighborhood Fresh,267
FF0001,Frozen Peas,Regular,2025-07-01,SuperSaver Foods,1956
FF0001,Frozen Peas,Regular,2025-07-01,Green Valley Foods,224
FF0001,Frozen Peas,Regular,2025-07-01,WholeChoice Market,128
FF0001,Frozen Peas,Regular,2025-07-01,Organic Valley Market,550
FF0001,Frozen Peas,Regular,2025-07-01,Metro SuperMart,3476
FF0001,Frozen Peas,Regular,2025-07-01,HealthFoods Market,227
FF0001,Frozen Peas,Regular,2025-08-01,Metro SuperMart,392
FF0001,Frozen Peas,Regular,2025-08-01,Neighborhood Fresh,209
FF0001,Frozen Peas,Regular,2025-08-01,Organic Valley Market,42
FF0001,Frozen Peas,Regular,2025-08-01,DailyFresh Foods,907
FF0001,Frozen Peas,Regular,2025-08-01,HealthFoods Market,1149
